Loss Ratio,TPR
1,0.1029
1,0.6
1.01,0.109
1.03,0.2498
1.05,0.3771
1.09,0.3491
1.11,0.5451
1.22,0.825
1.22,0.8252
1.22,0.854
1.25,0.7539
1.34,0.774
1.36,0.521
1.36,0.727
1.37,0.274
1.38,0.077
1.5,3.097
1.59,2.171
1.7,4.491
1.75,0.238
1.84,2.367
1.87,1.6599
1.88,2.723
1.98,2.342
2.07,0.1603
2.1,0.61
2.36,1.136
3.07,1.903
4.18,3.377
5.07,2.677
6.16,4.4912
9.16,4.828
17.57,1.256
26.1,3.766
26.1,6.319
71,10.268
298.27,24.8789
713.8,9.844
870,9.1026
10.16,15.791
1.24,0.782
